Subject	Dutch_name	Stimulus_type	Response_type	label	onset	offset	Real_onset
AH02	handboeien	picture+word	silent	silent	0	0,2	800
AH02	handboeien	picture+word	silent	handboeien	0,2	1,1	1000
AH02	handboeien	picture+word	silent	!	1,1	1,2018	1900
AH02	helikopter	picture+word	aloud	aloud	0	0,4505	800
AH02	helikopter	picture+word	aloud	helikopter	0,4505	1,1675	1251
AH02	helikopter	picture+word	aloud	!	1,1675	1,2083	1968
AH02	kaars	picture	aloud	aloud	0	0,5808	800
AH02	kaars	picture	aloud	kaars	0,5808	1,0576	1381
AH02	kaars	picture	aloud	!	1,0576	1,2015	1858
AH02	kangoeroe	picture	silent	silent	0	0,2	800
AH02	kangoeroe	picture	silent	kangoeroe	0,2	1,1	1000
AH02	kangoeroe	picture	silent	!	1,1	1,2049	1900
AH02	kip	picture+word	aloud	aloud	0	0,4454	800
AH02	kip	picture+word	aloud	kip	0,4454	0,8011	1245
AH02	kip	picture+word	aloud	!	0,8011	1,2049	1601
AH02	kiwi	picture+word	silent	silent	0	0,2	800
AH02	kiwi	picture+word	silent	kiwi	0,2	1,1	1000
AH02	kiwi	picture+word	silent	!	1,1	1,2071	1900
AH02	kleerhanger	picture	aloud	aloud	0	0,3702	800
AH02	kleerhanger	picture	aloud	kleerhanger	0,3702	1,1373	1170
AH02	kleerhanger	picture	aloud	!	1,1373	1,2012	1937
AH02	klomp	picture	silent	silent	0	0,2	800
AH02	klomp	picture	silent	klomp	0,2	1,1	1000
AH02	klomp	picture	silent	!	1,1	1,2068	1900
AH02	knoop	picture+word	aloud	aloud	0	0,425	800
AH02	knoop	picture+word	aloud	knoop	0,425	0,8209	1225
AH02	knoop	picture+word	aloud	!	0,8209	1,2007	1621
AH02	kokosnoot	picture+word	aloud	aloud	0	0,6575	800
